Participant,full,melody,lyrics,MusicExperience1,MusicExperience2
1,50,47.5,47.05882353,0,0
2,52.5,72.5,47.05882353,0,1
3,47.5,67.5,58.82352941,0,0
4,52.5,70,55.88235294,0,0
5,70,50,55.88235294,0,0
6,37.5,57.5,50,1,1
7,62.5,67.5,58.82352941,1,0
8,77.5,55,44.11764706,0,0
9,60,57.5,52.94117647,0,0
10,70,52.5,55.88235294,0,0
11,57.5,57.5,58.82352941,0,0
12,50,47.5,41.17647059,0,0
13,67.5,60,50,0,0
14,57.5,57.5,55.88235294,0,1
15,55,55,58.82352941,1,0
16,57.5,55,50,0,1
17,60,50,26.47058824,1,0
18,55,52.5,61.76470588,1,0
19,60,52.5,55.88235294,1,0
20,62.5,65,52.94117647,0,0
21,60,62.5,52.94117647,0,0
22,45,52.5,52.94117647,0,0
23,45,57.5,41.17647059,0,0
24,70,,,1,
25,55,,,0,
26,62.5,,,0,
27,57.5,,,0,
28,65,,,0,
