Case,full_simi,melody_simi,lyrics_simi
0,2.928571429,2.071428571,1.357142857
1,2.535714286,3.5,1.642857143
2,3,3.571428571,1.5
3,1.857142857,2.285714286,2.642857143
4,1.964285714,2.214285714,2.5
5,1.821428571,2.142857143,1.714285714
6,2.5,2.5,3
7,1.892857143,1.857142857,1.857142857
8,3.142857143,3.642857143,
9,1.928571429,2.428571429,1.642857143
10,1.785714286,2.285714286,1.857142857
11,2.214285714,2.142857143,2.428571429
12,3.178571429,3.714285714,4.769230769
13,2.535714286,1.857142857,2.214285714
14,3.678571429,1.785714286,
15,3,2.571428571,3.384615385
16,3,3.571428571,2.384615385
17,3.142857143,2.5,1.5
18,2.285714286,2.214285714,2.785714286
19,2.321428571,2.285714286,2.785714286
20,1.785714286,2.285714286,1.5
21,3.178571429,2.857142857,2.714285714
22,3.178571429,3.642857143,1.5
23,2,1.571428571,2
24,3.107142857,3.285714286,1.5
25,2.571428571,2.571428571,
26,3.25,3.5,3.857142857
27,3.428571429,3.285714286,1.928571429
28,2.714285714,3.214285714,1.666666667
29,2.571428571,1.785714286,
30,2.535714286,3.214285714,1.714285714
31,2.821428571,2.857142857,
32,1.928571429,2.928571429,1.428571429
33,2.285714286,2.928571429,
34,3.178571429,2.214285714,2.214285714
35,2.75,2.357142857,1.714285714
36,2.607142857,2.714285714,2.357142857
37,3.821428571,3.857142857,1.846153846
38,3,2.714285714,1.615384615
39,3.107142857,3.214285714,1.692307692
