Case,full_simi,melody_simi,lyrics_simi,PMI
0,2.928571429,1.956521739,1.391304348,20.94240838
1,2.535714286,3.391304348,1.565217391,59.25925926
2,3,3.260869565,1.347826087,53.10734463
3,1.857142857,2.173913043,2.434782609,25.74257426
4,1.964285714,2,2.130434783,33.02752294
5,1.821428571,1.913043478,1.826086957,13.33333333
6,2.5,2.347826087,2.782608696,24.3902439
7,1.892857143,2.130434783,1.782608696,23.76237624
8,3.142857143,3.652173913,,84.61538462
9,1.928571429,2.434782609,1.565217391,29.50819672
10,1.785714286,2.260869565,1.739130435,25.85034014
11,2.214285714,2,2.173913043,27.65957447
12,3.178571429,3.739130435,4.818181818,92.47311828
13,2.535714286,1.869565217,2.130434783,31.74603175
14,3.678571429,1.695652174,,0
15,3,2.434782609,3.318181818,41.05960265
16,3,3.347826087,2.181818182,58.18181818
17,3.142857143,2.608695652,1.52173913,44.62809917
18,2.285714286,2.260869565,2.826086957,35.13513514
19,2.321428571,2.217391304,2.695652174,71.42857143
20,1.785714286,2.434782609,1.52173913,30.07518797
21,3.178571429,3.086956522,2.782608696,47.05882353
22,3.178571429,3.52173913,1.608695652,45.33333333
23,2,1.391304348,2,40
24,3.107142857,3.260869565,1.52173913,67.44186047
25,2.571428571,2.434782609,,29.26829268
26,3.25,3.391304348,3.869565217,53.33333333
27,3.428571429,3.52173913,1.913043478,79.62382445
28,2.714285714,2.826086957,1.55,65.11627907
29,2.571428571,1.869565217,,36.73469388
30,2.535714286,3.217391304,1.608695652,63.15789474
31,2.821428571,2.565217391,,50.74626866
32,1.928571429,2.869565217,1.347826087,57.73195876
33,2.285714286,2.956521739,,66.66666667
34,3.178571429,2.304347826,2.217391304,34.43223443
35,2.75,2.260869565,1.695652174,29.21348315
36,2.607142857,2.739130435,2.347826087,44.8
37,3.821428571,3.913043478,1.727272727,100
38,3,2.434782609,1.545454545,63.88888889
39,3.107142857,3.043478261,1.636363636,25
