SIMILARITY,GROUP,PMI
2.928571429,FULL_SIMI,20.94240838
2.535714286,FULL_SIMI,59.25925926
3,FULL_SIMI,53.10734463
1.857142857,FULL_SIMI,25.74257426
1.964285714,FULL_SIMI,33.02752294
1.821428571,FULL_SIMI,13.33333333
2.5,FULL_SIMI,24.3902439
1.892857143,FULL_SIMI,23.76237624
3.142857143,FULL_SIMI,84.61538462
1.928571429,FULL_SIMI,29.50819672
1.785714286,FULL_SIMI,25.85034014
2.214285714,FULL_SIMI,27.65957447
3.178571429,FULL_SIMI,92.47311828
2.535714286,FULL_SIMI,31.74603175
3.678571429,FULL_SIMI,0
3,FULL_SIMI,41.05960265
3,FULL_SIMI,58.18181818
3.142857143,FULL_SIMI,44.62809917
2.285714286,FULL_SIMI,35.13513514
2.321428571,FULL_SIMI,71.42857143
1.785714286,FULL_SIMI,30.07518797
3.178571429,FULL_SIMI,47.05882353
3.178571429,FULL_SIMI,45.33333333
2,FULL_SIMI,40
3.107142857,FULL_SIMI,67.44186047
2.571428571,FULL_SIMI,29.26829268
3.25,FULL_SIMI,53.33333333
3.428571429,FULL_SIMI,79.62382445
2.714285714,FULL_SIMI,65.11627907
2.571428571,FULL_SIMI,36.73469388
2.535714286,FULL_SIMI,63.15789474
2.821428571,FULL_SIMI,50.74626866
1.928571429,FULL_SIMI,57.73195876
2.285714286,FULL_SIMI,66.66666667
3.178571429,FULL_SIMI,34.43223443
2.75,FULL_SIMI,29.21348315
2.607142857,FULL_SIMI,44.8
3.821428571,FULL_SIMI,100
3,FULL_SIMI,63.88888889
3.107142857,FULL_SIMI,25
1.956521739,MELODY_SIMI,20.94240838
3.391304348,MELODY_SIMI,59.25925926
3.260869565,MELODY_SIMI,53.10734463
2.173913043,MELODY_SIMI,25.74257426
2,MELODY_SIMI,33.02752294
1.913043478,MELODY_SIMI,13.33333333
2.347826087,MELODY_SIMI,24.3902439
2.130434783,MELODY_SIMI,23.76237624
3.652173913,MELODY_SIMI,84.61538462
2.434782609,MELODY_SIMI,29.50819672
2.260869565,MELODY_SIMI,25.85034014
2,MELODY_SIMI,27.65957447
3.739130435,MELODY_SIMI,92.47311828
1.869565217,MELODY_SIMI,31.74603175
1.695652174,MELODY_SIMI,0
2.434782609,MELODY_SIMI,41.05960265
3.347826087,MELODY_SIMI,58.18181818
2.608695652,MELODY_SIMI,44.62809917
2.260869565,MELODY_SIMI,35.13513514
2.217391304,MELODY_SIMI,71.42857143
2.434782609,MELODY_SIMI,30.07518797
3.086956522,MELODY_SIMI,47.05882353
3.52173913,MELODY_SIMI,45.33333333
1.391304348,MELODY_SIMI,40
3.260869565,MELODY_SIMI,67.44186047
2.434782609,MELODY_SIMI,29.26829268
3.391304348,MELODY_SIMI,53.33333333
3.52173913,MELODY_SIMI,79.62382445
2.826086957,MELODY_SIMI,65.11627907
1.869565217,MELODY_SIMI,36.73469388
3.217391304,MELODY_SIMI,63.15789474
2.565217391,MELODY_SIMI,50.74626866
2.869565217,MELODY_SIMI,57.73195876
2.956521739,MELODY_SIMI,66.66666667
2.304347826,MELODY_SIMI,34.43223443
2.260869565,MELODY_SIMI,29.21348315
2.739130435,MELODY_SIMI,44.8
3.913043478,MELODY_SIMI,100
2.434782609,MELODY_SIMI,63.88888889
3.043478261,MELODY_SIMI,25
1.391304348,LYRICS_SIMI,20.94240838
1.565217391,LYRICS_SIMI,59.25925926
1.347826087,LYRICS_SIMI,53.10734463
2.434782609,LYRICS_SIMI,25.74257426
2.130434783,LYRICS_SIMI,33.02752294
1.826086957,LYRICS_SIMI,13.33333333
2.782608696,LYRICS_SIMI,24.3902439
1.782608696,LYRICS_SIMI,23.76237624
,LYRICS_SIMI,84.61538462
1.565217391,LYRICS_SIMI,29.50819672
1.739130435,LYRICS_SIMI,25.85034014
2.173913043,LYRICS_SIMI,27.65957447
4.818181818,LYRICS_SIMI,92.47311828
2.130434783,LYRICS_SIMI,31.74603175
,LYRICS_SIMI,0
3.318181818,LYRICS_SIMI,41.05960265
2.181818182,LYRICS_SIMI,58.18181818
1.52173913,LYRICS_SIMI,44.62809917
2.826086957,LYRICS_SIMI,35.13513514
2.695652174,LYRICS_SIMI,71.42857143
1.52173913,LYRICS_SIMI,30.07518797
2.782608696,LYRICS_SIMI,47.05882353
1.608695652,LYRICS_SIMI,45.33333333
2,LYRICS_SIMI,40
1.52173913,LYRICS_SIMI,67.44186047
,LYRICS_SIMI,29.26829268
3.869565217,LYRICS_SIMI,53.33333333
1.913043478,LYRICS_SIMI,79.62382445
1.55,LYRICS_SIMI,65.11627907
,LYRICS_SIMI,36.73469388
1.608695652,LYRICS_SIMI,63.15789474
,LYRICS_SIMI,50.74626866
1.347826087,LYRICS_SIMI,57.73195876
,LYRICS_SIMI,66.66666667
2.217391304,LYRICS_SIMI,34.43223443
1.695652174,LYRICS_SIMI,29.21348315
2.347826087,LYRICS_SIMI,44.8
1.727272727,LYRICS_SIMI,100
1.545454545,LYRICS_SIMI,63.88888889
1.636363636,LYRICS_SIMI,25
